key,description,en,nl
appTitleShort,Title of the app,Papageno,
appSubtitle,Subtitle of the app,Birdsong Tutor,
appTitleFull,Title of the app,Papageno: Birdsong Tutor,
appVersion,Version of the app,Version ${versionNumber},Versie ${versionNumber}
appCopyright,Copyright line,"Copyright © 2020, Thomas ten Cate",
loading,Shown on the splash screen while data is being loaded,Loading…,Bezig met laden…
switchProfile,Menu item that opens profile selection screen,Switch profile,Profiel kiezen
switchCourse,Menu item that opens course selection screen,Switch course,Cursus kiezen
settings,Menu item that opens Settings screen,Settings,Instellingen
about,Menu item that opens About screen,About Papageno,Over Papageno
profiles,Title of screen listing all profiles,Profiles,Profielen
anonymousProfileName,Name shown for a profile that has not been given a name,Unnamed profile #{number},Naamloos profiel #{number}
profileLastUsed,Text describing when a profile was last accessed; the placeholder is replaced by a date and time,Last used: ${when},Laatst gebruikt: ${when}
profileNeverUsed,Used instead of date if a profile has not been used yet,never,nooit
startCreatingProfileButton,Button text for creating a new profile,Create new profile,Maak nieuw profiel
createProfileTitle,Dialog title,Create profile,Profiel maken
editProfileTitle,Dialog title,Edit profile,Profiel bewerken
profileNameLabel,Text above text input field for profile name,Name,Naam
profileNamePlaceholder,Placeholder text in empty profile name text input,"For example, your name",Bijvoorbeeld je eigen naam
deleteProfileButton,Text on button to delete profile,Delete profile,Profiel verwijderen
deleteProfileConfirmation,Text asking to delete a profile,"The profile ""${profileName}"" will be deleted, along with all its courses and progress. This cannot be undone. Are you sure?","Het profiel ""${profileName}"" zal worden verwijderd, samen met al zijn cursussen en voortgang. Dit kan niet ongedaan worden gemaakt. Weet je het zeker?"
courses,Title of screen listing all courses in a profile,Courses,Cursussen
startCreatingCourseButton,Button to start course creation,Start new course,Nieuwe cursus beginnen
deleteCourseConfirmation,Text asking to delete a course,"The course ""${courseTitle}"" will be deleted. This cannot be undone. Are you sure?","De cursus ""${courseTitle}"" zal worden verwijderd. Dit kan niet ongedaan worden gemaakt. Weet je het zeker?"
createCourseTitle,Title of screen for creating a new course,Start new course,Nieuwe cursus beginnen
createCourseInstructions,Instructions on the screen for creating a new course,"Choose a location. Your course will contain birds from that area, ordered from common to rare.","Kies een locatie. De cursus bevat vogels uit die regio, op volgorde van meer naar minder voorkomend."
createCourseTapMap,Instructions on the screen for creating a new course,Or tap the map to select another location.,Of tik op de kaart om een andere locatie te kiezen.
useCurrentLocationButton,Text for button to use current GPS location for creating a course,Use current location,Gebruik huidige locatie
courseSearchingSpecies,Shown on the course creation screen while bird species are being looked up,Searching for bird species…,Vogelsoorten worden opgezocht…
courseSpecies,Shown on the course creation screen above a list of bird names,Common birds in this area:,Veel voorkomende vogels in deze regio:
createCourseButtonDisabled,Button text while button is disabled,Start course,Begin cursus
createCourseButtonEnabled,Button text when enough species were found,Start course (#{speciesCount} birds),Begin cursus (#{speciesCount} vogels)
courseTitle,"Title of a course, containing GPS location; keep short",Birds near ${location},Vogels rondom ${location}
lessonCount,Number of lessons in a course,"#{lessonCount} chapters, #{speciesCount} birds","#{lessonCount} hoofdstukken, #{speciesCount} vogels"
lessonTitle,Title of a numbered lesson,Chapter #{lessonNumber},Hoofdstuk #{lessonNumber}
lessonProgress,Text below lesson title showing how well the lesson has been learned,Progress: #{progressPercent}%,Voortgang: #{progressPercent}%
unlockProgress,Text above a progress bar,Progress towards the next chapter:,Voortgang tot het volgende hoofdstuk:
startLesson,Button text for starting a lesson,Start,Start
questionIndex,Indicates current question number (starting from 1) and the total number of questions,Question #{current} of #{total},Vraag #{current} van #{total}
tapInstructions,Shown at the bottom of the screen when ready to continue to the next question,Tap anywhere to continue,Tik ergens om verder te gaan
quizResultsTitle,Title of screen with quiz results,Quiz results,Toetsuitslag
quizScore,Text introducing a percentage showing how well the user scored on a quiz,Score:,Score:
quizScoreDetails,Text showing how well the user scored on a quiz,Correctly identified #{correct} out of #{total} birds,#{correct} van #{total} vogels juist geïdentificeerd
strongPoints,Text introducing birds that the user is good at,Strong points,Sterke punten
weakPoints,Text introducing birds that the user is not good at,Weak points,Zwakke punten
confusionText,Text describing a single incorrect answer,Took ${correct} to be ${wrong},Dacht dat een ${correct} een ${wrong} was
retryQuizButton,Text on button that retries this quiz once more,Have another go,Nog eens proberen
backButton,Text on button that goes back to the previous screen,Back,Terug
abortQuizTitle,Title of dialog asking to abort the current quiz,Abort quiz?,Toets beëindigen?
abortQuizContent,Text of dialog asking to abort the current quiz,This will end the current quiz without storing results. Are you sure?,Hiermee wordt de huidige toets beëindigd zonder resultaten op te slaan. Weet je het zeker?
recordingCreator,Credit for audio recordists,Audio recording by ${name},Geluidsopname door ${name}
imageCreator,Credit for photographers,Photo by ${name},Foto door ${name}
unknownCreator,"Shown instead of author name if author is unknown, referring to the web page where their work was found","[unknown, see source page]","[onbekend, zie bronpagina]"
source,"Referring to a URL where source material (audio, photo) was found",Source: ${url},Bron: ${url}
license,"Referring to the name of a license, e.g. CC BY-SA",License: ${name},Licensie: ${name}
ok,Text for an OK button,OK,OK
cancel,Text for a cancel button,Cancel,Annuleren
yes,Text for confirmation button,Yes,Ja
no,Text for rejection button,No,Nee
speciesNameDisplay,Heading on the Settings screen,Display of bird names,Weergave van vogelnamen
primarySpeciesNameLanguage,Setting for the language in which to display bird species names,First language (used for answers),Eerste taal (gebruikt voor antwoorden)
secondarySpeciesNameLanguage,Setting for a second language in which to display bird species names,Second language,Tweede taal
showScientificName,Toggle for showing the scientific name of bird species,"Show scientific (""Latin"") name","Toon wetenschappelijke (""latijnse"") naam"
languageNone,Shown in language picker if no language has been configured,None,Geen
languageSystem,Shown in language picker for the language used by the operating system,Operating system language,Taal van besturingssysteem
language_en,Name of the English language,English,Engels
language_af,Name of the Afrikaans language,Afrikaans,Afrikaans
language_ca,Name of the Catalan language,Catalan,Catalaans
language_zh_CN,"Name of the Chinese language using the simplified script",Chinese (simplified),Chinees (vereenvoudigd)
language_zh_TW,"Name of the Chinese language using the traditional script",Chinese (traditional),Chinees (traditioneel)
language_cs,Name of the Czech language,Czech,Tsjechisch
language_da,Name of the Danish language,Danish,Deens
language_nl,Name of the Dutch language,Dutch,Nederlands
language_et,Name of the Estonian language,Estonian,Estisch
language_fi,Name of the Finnish language,Finnish,Fins
language_fr,Name of the French language,French,Frans
language_de,Name of the German language,German,Duits
language_hu,Name of the Hungarian language,Hungarian,Hongaars
language_is,Name of the Icelandic language,Icelandic,IJslands
language_id,Name of the Indonesian language,Indonesian,Indonesisch
language_it,Name of the Italian language,Italian,Italiaans
language_ja,Name of the Japanese language,Japanese,Japans
language_lv,Name of the Latvian language,Latvian,Lets
language_lt,Name of the Lithuanian language,Lithuanian,Litouws
language_se,Name of the Northern Sami language,Northern Sami,Noord-Samisch
language_no,Name of the Norwegian language (either Bokmål or Nynorsk),Norwegian,Noors
language_pl,Name of the Polish language,Polish,Pools
language_pt,Name of the Portuguese language,Portuguese,Portugees
language_ru,Name of the Russian language,Russian,Russisch
language_sk,Name of the Slovak language,Slovak,Slowaaks
language_sl,Name of the Slovenian language,Slovenian,Sloveens
language_es,Name of the Spanish language,Spanish,Spaans
language_sv,Name of the Swedish language,Swedish,Zweeds
language_th,Name of the Thai language,Thai,Thai
language_uk,Name of the Ukrаiniаn language,Ukrаiniаn,Oekraïens
aboutTitle,Title of the About screen,About Papageno,Over Papageno
contributorsHeading,Heading in About screen,Contributors,Medewerkers
applicationLicenseHeading,Heading in About screen,Application license,Applicatie-licensie
mediaLicensesHeading,Heading in About screen,Media licenses,Media-licensies
dataLicensesHeading,Heading in About screen,Data licenses,Data-licensies
softwareLicensesHeading,Heading in About screen,Software licenses,Software-licensies
thomasTenCateName,Name in About screen,Thomas ten Cate,
thomasTenCateRole,Role in About screen,"Concept, design, development","Concept, ontwerp, ontwikkeling"
thomasTenCateUrl,URL in About screen,https://frozenfractal.com,
gplLicenseName,Legalese; do not translate,GNU General Public License,
gplLicenseVersion,Legalese; do not translate,"Version 3, 29 June 2009",
gplLicenseBlurb,Legalese; do not translate,"This program is free software: you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version.

This program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.",
viewSoftwareLicenses,Text of link button,View software licenses,Bekijk softwarelicensies
appSourceLink,Link to source code on GitHub,Source code available on GitHub,Broncode beschikbaar op GitHub
appSourceUrl,URL to source code on GitHub,https://github.com/ttencate/papageno,
xenoCantoSource,Text in About screen,Audio recordings sourced from xeno-canto,Geluidsopnames verkregen via xeno-canto
recordingsLicensesText,Button text in About screen,View licenses for all recordings,Bekijk licensies voor opnames
wikimediaCommonsSource,Text in About screen,Photos sourced from Wikimedia Commons,Foto's verkregen via Wikimedia Commons
imagesLicensesText,Button text in About screen,View licenses for all photos,Bekijk licensies voor alle foto's
